iter	Passed	Remaining
0	0	33
1	0	31
2	0	29
3	1	27
4	1	26
5	1	29
6	2	29
7	2	29
8	3	30
9	3	31
10	3	31
11	4	30
12	4	30
13	4	29
14	5	29
15	5	29
16	5	29
17	6	28
18	6	28
19	7	28
20	7	28
21	7	28
22	8	27
23	8	27
24	8	26
25	9	26
26	9	25
27	9	25
28	10	24
29	10	23
30	10	23
31	10	23
32	11	22
33	11	22
34	11	21
35	12	21
36	12	20
37	13	21
38	13	21
39	14	21
40	14	21
41	15	20
42	15	20
43	15	19
44	15	19
45	16	19
46	16	18
47	16	18
48	17	17
49	19	19
50	19	18
51	19	18
52	20	17
53	20	17
54	21	17
55	21	17
56	22	16
57	22	16
58	22	15
59	22	15
60	23	14
61	23	14
62	23	14
63	24	13
64	24	13
65	24	12
66	25	12
67	25	12
68	26	11
69	26	11
70	26	10
71	27	10
72	27	10
73	27	9
74	27	9
75	28	8
76	29	8
77	33	9
78	34	9
79	34	8
80	34	8
81	35	7
82	35	7
83	36	6
84	36	6
85	36	6
86	37	5
87	37	5
88	38	4
89	39	4
90	39	3
91	39	3
92	40	3
93	40	2
94	41	2
95	41	1
96	42	1
97	43	0
98	44	0
99	44	0
